text_raw,text_norm,emojis,emojis_count,emoji_sent,lang_primary,lang_probs,is_mixed,mix_ratio,has_kk_chars,has_ru_chars,text,username,like_count,created_at_utc,source_post_url,batch_extracted_at,post_total_comments,post_note,has_profanity,profanity_hits,spam_score,is_spam,toxicity_model,toxicity_score,toxicity_label,moderation_reasons,type,type_rules,sentiment,sentiment_score,sentiment_model,sentiment_probs_json
Интернет қайда????? Алматы наурызбай ауданы ватсапта аудионы 10 минут загрузит етті ғо😡😡😡😡,Интернет қайда?? Алматы наурызбай ауданы ватсапта аудионы 10 минут загрузит етті ғо😡😡😡😡,😡😡😡😡,4,-0.9,kk,"{""kk"": 0.9194, ""ru"": 0.0618, ""tt"": 0.0059}",True,0.3833,True,True,Интернет қайда????? Алматы наурызбай ауданы ватсапта аудионы 10 минут загрузит етті ғо😡😡😡😡,jas_talap,1,2025-09-20T14:57:21+00:00,DOvyiAADftX,2025-09-21T00:31:07.942035,16,,False,0,0.15,False,mbert_textdetox,0.0136,non_toxic,[],question,"[""kk:question""]",negative,-0.9081,kk_rembert_polarity,"{""negative"": 0.9139617355253757, ""neutral"": 0.04301913223731216, ""positive"": 0.04301913223731216}"
Здесь решите: вот номер 87007870224,Здесь решите: вот номер 87007870224,,0,0.0,ru,"{""ru"": 0.9753, ""mk"": 0.006, ""bg"": 0.0049}",False,0.0,False,False,Здесь решите: вот номер 87007870224,zaartasgalaxy,1,2025-09-20T07:39:43+00:00,DOvyiAADftX,2025-09-21T00:31:07.942035,16,,False,0,0.25,False,ru_rubert_tiny,0.0165,non_toxic,[],review,[],neutral,0.0025,ru_rubert_tiny_snt,"{""negative"": 0.004390560468289023, ""neutral"": 0.9881003897225872, ""positive"": 0.007509049809123789}"
Создали ситуацию что до Вас никаким каналом недостучаться и еще отчитываетесь как все круто автоматизировали и за это бонусы получаете,Создали ситуацию что до Вас никаким каналом недостучаться и еще отчитываетесь как все круто автоматизировали и за это бонусы получаете,,0,0.0,ru,"{""ru"": 0.9997, ""uk"": 0.0001, ""ce"": 0.0001}",False,0.0,False,True,Создали ситуацию что до Вас никаким каналом недостучаться и еще отчитываетесь как все круто автоматизировали и за это бонусы получаете,zaartasgalaxy,0,2025-09-20T07:29:29+00:00,DOvyiAADftX,2025-09-21T00:31:07.942035,16,,False,0,0.0,False,ru_rubert_tiny,0.2767,non_toxic,[],question,"[""ru:question""]",negative,-0.557,ru_rubert_tiny_snt,"{""negative"": 0.8016925334678213, ""neutral"": 0.0929015190467012, ""positive"": 0.10540594748547752}"
"Қалай тарифім бітеді номерді мусорға лақтырам, орны сол жерде,  билайнға көшем","Қалай тарифім бітеді номерді мусорға лақтырам, орны сол жерде, билайнға көшем",,0,0.0,kk,"{""kk"": 0.9935, ""be"": 0.0025, ""av"": 0.002}",False,0.05,True,True,"Қалай тарифім бітеді номерді мусорға лақтырам, орны сол жерде,  билайнға көшем",jas_talap,0,2025-09-20T14:59:42+00:00,DOvyiAADftX,2025-09-21T00:31:07.942035,16,,False,0,0.0,False,mbert_textdetox,0.0068,non_toxic,[],question,"[""kk:question""]",negative,-0.5852,kk_rembert_polarity,"{""negative"": 0.7633020314116646, ""neutral"": 0.1183489842941677, ""positive"": 0.1183489842941677}"
Алтел это не связь а беда какая то,Алтел это не связь а беда какая то,,0,0.0,ru,"{""ru"": 0.9973, ""ba"": 0.0006, ""ky"": 0.0004}",False,0.0,False,True,Алтел это не связь а беда какая то,__t__n___07,0,2025-09-20T14:28:00+00:00,DOvyiAADftX,2025-09-21T00:31:07.942035,16,,False,0,0.0,False,ru_rubert_tiny,0.3241,non_toxic,[],question,"[""ru:question""]",negative,-0.7785,ru_rubert_tiny_snt,"{""negative"": 0.9737633996785356, ""neutral"": 0.02563409891790783, ""positive"": 0.0006025014035565756}"
"Добрый вечер! Мы с пониманием относимся к таким ситуациям и прилагаем все усилия, чтобы решить каждый конкретный случай. Для детальной проверки предлагаю продолжить общение в Direct.
(Сіздің кеңесшіңіз / Ваш консультант Дана)","Добрый вечер! Мы с пониманием относимся к таким ситуациям и прилагаем все усилия, чтобы решить каждый конкретный случай. Для детальной проверки предлагаю продолжить общение в Direct. (Сіздің кеңесшіңіз / Ваш консультант Дана)",,0,0.0,ru,"{""ru"": 0.9881, ""bg"": 0.0028, ""be"": 0.0028}",False,0.087,True,True,"Добрый вечер! Мы с пониманием относимся к таким ситуациям и прилагаем все усилия, чтобы решить каждый конкретный случай. Для детальной проверки предлагаю продолжить общение в Direct.
(Сіздің кеңесшіңіз / Ваш консультант Дана)",altel_kz,0,2025-09-19T18:40:55+00:00,DOvyiAADftX,2025-09-21T00:31:07.942035,16,,False,0,0.0,False,ru_rubert_tiny,0.0273,non_toxic,[],review,[],neutral,0.0366,ru_rubert_tiny_snt,"{""negative"": 0.00025312180149790096, ""neutral"": 0.9538012009541389, ""positive"": 0.04594567724436317}"
у вас что денег на операторов нет? как до вас дозвониться?!,у вас что денег на операторов нет? как до вас дозвониться?!,,0,0.0,ru,"{""ru"": 0.9979, ""uk"": 0.001, ""sr"": 0.0009}",False,0.0,False,False,у вас что денег на операторов нет? как до вас дозвониться?!,geras.moves,3,2025-09-12T07:47:42+00:00,DOaXkTKCjgv,2025-09-21T00:31:11.990995,24,,False,0,0.0,False,ru_rubert_tiny,0.0292,non_toxic,[],question,"[""ru:question""]",negative,-0.3458,ru_rubert_tiny_snt,"{""negative"": 0.44372509628955464, ""neutral"": 0.5447997889585854, ""positive"": 0.01147511475185998}"
Не работает связь с утра ?! Дозвонится не можем . Что случилось ?,Не работает связь с утра ?! Дозвонится не можем . Что случилось ?,,0,0.0,ru,"{""ru"": 0.9979, ""ce"": 0.0007, ""sr"": 0.0004}",False,0.0,False,False,Не работает связь с утра ?! Дозвонится не можем . Что случилось ?,bissara_ualiyeva,3,2025-09-12T05:30:07+00:00,DOaXkTKCjgv,2025-09-21T00:31:11.990995,24,,False,0,0.0,False,ru_rubert_tiny,0.0148,non_toxic,[],complaint,"[""ru:question"", ""ru:complaint""]",negative,-0.7849,ru_rubert_tiny_snt,"{""negative"": 0.981867145206472, ""neutral"": 0.017381684235418794, ""positive"": 0.0007511705581092168}"
Интернет нет,Интернет нет,,0,0.0,ru,"{""ru"": 0.983, ""sr"": 0.0105, ""ce"": 0.0023}",False,0.0,False,False,Интернет нет,shadiiyyar,0,2025-09-12T12:53:46+00:00,DOaXkTKCjgv,2025-09-21T00:31:11.990995,24,,False,0,0.0,False,ru_rubert_tiny,0.0274,non_toxic,[],review,[],negative,-0.7567,ru_rubert_tiny_snt,"{""negative"": 0.9488059641974423, ""neutral"": 0.048217846742060595, ""positive"": 0.002976189060497044}"
Колл центр вообще работает? Уже 4 часа не могу дозвониться,Колл центр вообще работает? Уже 4 часа не могу дозвониться,,0,0.0,ru,"{""ru"": 0.997, ""uk"": 0.0029, ""ce"": 0.0}",False,0.0,False,True,Колл центр вообще работает? Уже 4 часа не могу дозвониться,dida_official.kz,1,2025-09-11T07:36:44+00:00,DOaXkTKCjgv,2025-09-21T00:31:11.990995,24,,False,0,0.0,False,ru_rubert_tiny,0.0167,non_toxic,[],question,"[""ru:question""]",negative,-0.7657,ru_rubert_tiny_snt,"{""negative"": 0.9614941227611205, ""neutral"": 0.034191463858733576, ""positive"": 0.004314413380145966}"
Сеть қашан болады мүлде ашпайды инстаграмнан видео көре алмай қалдық,Сеть қашан болады мүлде ашпайды инстаграмнан видео көре алмай қалдық,,0,0.0,kk,"{""kk"": 0.9982, ""ba"": 0.0014, ""av"": 0.0002}",False,0.15,True,True,Сеть қашан болады мүлде ашпайды инстаграмнан видео көре алмай қалдық,ainur_3188,0,2025-09-16T16:44:10+00:00,DOaXkTKCjgv,2025-09-21T00:31:11.990995,24,,False,0,0.0,False,mbert_textdetox,0.0081,non_toxic,[],question,"[""kk:question""]",negative,-0.6,kk_rembert_polarity,"{""negative"": 0.7777745753216446, ""neutral"": 0.11111271233917769, ""positive"": 0.11111271233917769}"
"Качество связи ужасное,  интернет часто не ловить в городе., вечно пропадает связь, годами .","Качество связи ужасное, интернет часто не ловить в городе., вечно пропадает связь, годами .",,0,0.0,ru,"{""ru"": 0.9968, ""uk"": 0.0013, ""hy"": 0.0004}",False,0.0,False,False,"Качество связи ужасное,  интернет часто не ловить в городе., вечно пропадает связь, годами .",d229922,0,2025-09-19T15:26:01+00:00,DOaXkTKCjgv,2025-09-21T00:31:11.990995,24,,False,0,0.0,False,ru_rubert_tiny,0.0207,non_toxic,[],review,[],negative,-0.79,ru_rubert_tiny_snt,"{""negative"": 0.9881915649691639, ""neutral"": 0.011102771610758603, ""positive"": 0.0007056634200774836}"
Оператор қайда? До конца тыңдадым операторМен байланысу деген айтылмады.,Оператор қайда? До конца тыңдадым операторМен байланысу деген айтылмады.,,0,0.0,kk,"{""kk"": 0.8544, ""ky"": 0.0552, ""mn"": 0.0179}",False,0.1611,True,True,Оператор қайда? До конца тыңдадым операторМен байланысу деген айтылмады.,zhunusova116,0,2025-09-20T07:50:33+00:00,DOaXkTKCjgv,2025-09-21T00:31:11.990995,24,,False,0,0.0,False,mbert_textdetox,0.0069,non_toxic,[],question,"[""kk:question""]",negative,-0.73,kk_rembert_polarity,"{""negative"": 0.9161988800690146, ""neutral"": 0.041900559965492704, ""positive"": 0.041900559965492704}"
интернет плохой очень,интернет плохой очень,,0,0.0,ru,"{""ru"": 0.9859, ""myv"": 0.0047, ""tt"": 0.0041}",False,0.0,False,False,интернет плохой очень,atlgtlt,0,2025-09-13T13:31:09+00:00,DOaXkTKCjgv,2025-09-21T00:31:11.990995,24,,False,0,0.0,False,ru_rubert_tiny,0.0925,non_toxic,[],review,[],negative,-0.6576,ru_rubert_tiny_snt,"{""negative"": 0.836165222450103, ""neutral"": 0.14961445916798644, ""positive"": 0.01422031838191056}"
Уже пару дней очень плохой интернет!!! Так же вам все пишут и пишут под каждым постом 🤦🏼‍♀️ зато таргет о скоростном интернете у вас прям мелькает и мелькает,Уже пару дней очень плохой интернет!! Так же вам все пишут и пишут под каждым постом 🤦🏼‍♀️ зато таргет о скоростном интернете у вас прям мелькает и мелькает,🤦🏼‍♀️,1,0.0,ru,"{""ru"": 0.9897, ""ce"": 0.0034, ""uk"": 0.0029}",False,0.0,False,True,Уже пару дней очень плохой интернет!!! Так же вам все пишут и пишут под каждым постом 🤦🏼‍♀️ зато таргет о скоростном интернете у вас прям мелькает и мелькает,look_at_mars,1,2025-09-13T16:18:47+00:00,DOaXkTKCjgv,2025-09-21T00:31:11.990995,24,,False,0,0.0,False,ru_rubert_tiny,0.17,non_toxic,[],review,[],negative,-0.7484,ru_rubert_tiny_snt,"{""negative"": 0.9551186694947359, ""neutral"": 0.025227578420808007, ""positive"": 0.019653752084456078}"
17.09.2025 жылы неге ватцап инстаграм ютуб сафари неге істемей жатыр не үшін ақша алып жатсыздар,17.09.2025 жылы неге ватцап инстаграм ютуб сафари неге істемей жатыр не үшін ақша алып жатсыздар,,0,0.0,kk,"{""kk"": 0.9465, ""ky"": 0.0297, ""ru"": 0.0158}",True,0.2853,True,True,17.09.2025 жылы неге ватцап инстаграм ютуб сафари неге істемей жатыр не үшін ақша алып жатсыздар,ergalyagabekoff,0,2025-09-17T12:47:00+00:00,DOaXkTKCjgv,2025-09-21T00:31:11.990995,24,,False,0,0.15,False,mbert_textdetox,0.026,non_toxic,[],question,"[""kk:question""]",negative,-0.4351,kk_rembert_polarity,"{""negative"": 0.6285865928458652, ""neutral"": 0.18570670357706742, ""positive"": 0.18570670357706742}"
"Каждый раз нужно писать? Что за бардак? Купила номер, оплатила, подключила . Теперь позвонить не могу -"" у вас недостаточно средств"" каких на х .. средств, если 250 минут на балансе ??? 🤬🤬 живой кто-то может ответить?  Жду обратную связь !","Каждый раз нужно писать? Что за бардак? Купила номер, оплатила, подключила . Теперь позвонить не могу -"" у вас недостаточно средств"" каких на х .. средств, если 250 минут на балансе ?? 🤬🤬 живой кто-то может ответить? Жду обратную связь !",🤬🤬,2,-1.0,ru,"{""ru"": 0.9954, ""sr"": 0.0013, ""bg"": 0.0011}",False,0.0,False,True,"Каждый раз нужно писать? Что за бардак? Купила номер, оплатила, подключила . Теперь позвонить не могу -"" у вас недостаточно средств"" каких на х .. средств, если 250 минут на балансе ??? 🤬🤬 живой кто-то может ответить?  Жду обратную связь !",raya.raissa,0,2025-09-12T10:30:26+00:00,DOaXkTKCjgv,2025-09-21T00:31:11.990995,24,,False,0,0.0,False,ru_rubert_tiny,0.2289,non_toxic,[],question,"[""ru:question""]",negative,-0.8669,ru_rubert_tiny_snt,"{""negative"": 0.8393829951515775, ""neutral"": 0.15480777419422861, ""positive"": 0.005809230654193806}"
"Что за издевательство? Интернет не работает нормально с начала августа, когда он наконец будет грузить как положено?","Что за издевательство? Интернет не работает нормально с начала августа, когда он наконец будет грузить как положено?",,0,0.0,ru,"{""ru"": 0.9993, ""bg"": 0.0002, ""uk"": 0.0001}",False,0.0,False,False,"Что за издевательство? Интернет не работает нормально с начала августа, когда он наконец будет грузить как положено?",madinaskuu,1,2025-09-17T09:06:54+00:00,DOaXkTKCjgv,2025-09-21T00:31:11.990995,24,,False,0,0.0,False,ru_rubert_tiny,0.0225,non_toxic,[],complaint,"[""ru:question"", ""ru:complaint""]",negative,-0.798,ru_rubert_tiny_snt,"{""negative"": 0.9976770928729459, ""neutral"": 0.00213069666641581, ""positive"": 0.0001922104606383032}"
Где связь с живым оператором 😡,Где связь с живым оператором 😡,😡,1,-0.9,ru,"{""ru"": 0.9989, ""ce"": 0.0002, ""uk"": 0.0002}",False,0.0,False,True,Где связь с живым оператором 😡,femme_clothes_nargiz,0,2025-09-15T09:17:47+00:00,DOaXkTKCjgv,2025-09-21T00:31:11.990995,24,,False,0,0.0,False,ru_rubert_tiny,0.177,non_toxic,[],question,"[""ru:question""]",negative,-0.9663,ru_rubert_tiny_snt,"{""negative"": 0.9856443595626582, ""neutral"": 0.011544898375455886, ""positive"": 0.0028107420618859098}"
"Что с интернетом, уже пятый день нет нормального интернета","Что с интернетом, уже пятый день нет нормального интернета",,0,0.0,ru,"{""ru"": 0.9969, ""mhr"": 0.0009, ""uk"": 0.0007}",False,0.0,False,True,"Что с интернетом, уже пятый день нет нормального интернета",withdias,0,2025-09-17T06:51:29+00:00,DOaXkTKCjgv,2025-09-21T00:31:11.990995,24,,False,0,0.0,False,ru_rubert_tiny,0.6759,toxic,"[""toxicity:0.68""]",review,[],negative,-0.7955,ru_rubert_tiny_snt,"{""negative"": 0.9953729532323878, ""neutral"": 0.0036833575076870378, ""positive"": 0.0009436892599251699}"
Если нрмер закрыт то через сколько лет в продажу уйдёт?,Если нрмер закрыт то через сколько лет в продажу уйдёт?,,0,0.0,ru,"{""ru"": 0.9994, ""bg"": 0.0001, ""hy"": 0.0001}",False,0.0,False,True,Если нрмер закрыт то через сколько лет в продажу уйдёт?,sayan_usharal,0,2025-09-16T12:01:43+00:00,DOaXkTKCjgv,2025-09-21T00:31:11.990995,24,,False,0,0.0,False,ru_rubert_tiny,0.2227,non_toxic,[],question,"[""ru:question""]",neutral,-0.1186,ru_rubert_tiny_snt,"{""negative"": 0.14942185055401655, ""neutral"": 0.8493863045570134, ""positive"": 0.0011918448889701213}"
"Самый ужасный интернет! Сижу уже два часа, не могу отправить простой документ 🤦🏻‍♀️ подводите своих клиентов!","Самый ужасный интернет! Сижу уже два часа, не могу отправить простой документ 🤦🏻‍♀️ подводите своих клиентов!",🤦🏻‍♀️,1,0.0,ru,"{""ru"": 0.9692, ""ce"": 0.007, ""mhr"": 0.0067}",False,0.0,False,True,"Самый ужасный интернет! Сижу уже два часа, не могу отправить простой документ 🤦🏻‍♀️ подводите своих клиентов!",iamaikerim,0,2025-09-17T11:01:31+00:00,DOaXkTKCjgv,2025-09-21T00:31:11.990995,24,,False,0,0.0,False,ru_rubert_tiny,0.0971,non_toxic,[],review,[],negative,-0.7986,ru_rubert_tiny_snt,"{""negative"": 0.9984212755065218, ""neutral"": 0.001358136951556078, ""positive"": 0.00022058754192213177}"
"Знаете что, я чего-то н понимаю. У меня тариф в месяц стоит 3590. Я закинула, через 3 дня, интернет не работает, я звоню оператору узнать в чем причина, оператор говорит, вот у вас подключен сатты жулдыз лотерея, я в лотереи не играю, ну тогда у вас ежедневный ракет подключен. Почему вы деньги за тариф не списываете, а вместо этого списываете на ежедневные пакеты. Сколько будет длится это лохотрон, скажите мне пожалуйста?? Срочно нужен был интернет, я опять закинула 3590, через 3 тоже самое, то лотерея, то это , то то","Знаете что, я чего-то н понимаю. У меня тариф в месяц стоит 3590. Я закинула, через 3 дня, интернет не работает, я звоню оператору узнать в чем причина, оператор говорит, вот у вас подключен сатты жулдыз лотерея, я в лотереи не играю, ну тогда у вас ежедневный ракет подключен. Почему вы деньги за тариф не списываете, а вместо этого списываете на ежедневные пакеты. Сколько будет длится это лохотрон, скажите мне пожалуйста?? Срочно нужен был интернет, я опять закинула 3590, через 3 тоже самое, то лотерея, то это , то то",,0,0.0,ru,"{""ru"": 0.9993, ""bg"": 0.0002, ""ce"": 0.0002}",False,0.0,False,True,"Знаете что, я чего-то н понимаю. У меня тариф в месяц стоит 3590. Я закинула, через 3 дня, интернет не работает, я звоню оператору узнать в чем причина, оператор говорит, вот у вас подключен сатты жулдыз лотерея, я в лотереи не играю, ну тогда у вас ежедневный ракет подключен. Почему вы деньги за тариф не списываете, а вместо этого списываете на ежедневные пакеты. Сколько будет длится это лохотрон, скажите мне пожалуйста?? Срочно нужен был интернет, я опять закинула 3590, через 3 тоже самое, то лотерея, то это , то то",girigirilikebae,0,2025-09-16T19:02:19+00:00,DOaXkTKCjgv,2025-09-21T00:31:11.990995,24,,False,0,0.0,False,ru_rubert_tiny,0.5181,toxic,"[""toxicity:0.52""]",complaint,"[""ru:question"", ""ru:complaint""]",negative,-0.7469,ru_rubert_tiny_snt,"{""negative"": 0.9355500826506691, ""neutral"": 0.06255048439865944, ""positive"": 0.0018994329506714447}"
Плохой интернет. И  почему оператору вашему не воһможно позванить. Нету такой фунций поговарит с операторм. Есть все не нужные рекламы ваши Самый худшый сеть в мире .,Плохой интернет. И почему оператору вашему не воһможно позванить. Нету такой фунций поговарит с операторм. Есть все не нужные рекламы ваши Самый худшый сеть в мире .,,0,0.0,ru,"{""ru"": 0.996, ""ce"": 0.0014, ""uk"": 0.0013}",False,0.05,True,True,Плохой интернет. И  почему оператору вашему не воһможно позванить. Нету такой фунций поговарит с операторм. Есть все не нужные рекламы ваши Самый худшый сеть в мире .,gul56581,0,2025-09-16T10:01:08+00:00,DOaXkTKCjgv,2025-09-21T00:31:11.990995,24,,False,0,0.0,False,ru_rubert_tiny,0.137,non_toxic,[],question,"[""ru:question""]",negative,-0.7958,ru_rubert_tiny_snt,"{""negative"": 0.9953940370687695, ""neutral"": 0.004019565598771333, ""positive"": 0.0005863973324591469}"
